,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
6671,6672,5671770,알촌 인하대점,alchon인하대점,Archon Inha University,Food,Fusion Food,126.65833724735388,37.45132607548207,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,경인남길30번길,72,188-4,2022-08-16 16:52:33,음식||퓨전음식||프랜차이즈||알촌,False
18620,18621,27110527,탄탄면공방 송도타임스페이스점,,Tantanmyeon Workshop Songdo Time Space Branch,Food,Fusion Food,126.64212178527109,37.383590700090366,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,하모니로,158,8-21,2022-08-24 14:41:06,음식||퓨전음식||프랜차이즈||탄탄면공방,False
24635,24636,19228529,반메이, ,Banmei,Food,Fusion Food,126.6475776994994,37.39448460042943,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,컨벤시아대로,100,21-65,2020-12-02 15:33:15,음식||퓨전음식||퓨전음식-일반,False
36995,36996,27449592,사이참 청천2호점,,Saicham Cheongcheon 2nd Branch,Food,Fusion Food,126.70930207971276,37.51446765060075,대한민국,KOR,KOR,인천광역시,부평구,,청천동,,세월천로,16,176,2022-08-16 16:52:33,음식||퓨전음식||퓨전음식-일반,False
50399,50400,27183087,송도324,,Songdo 324,Food,Fusion Food,126.6519352090672,37.37592305016042,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도문화로28번길,28,190-2,2022-08-12 13:15:03,음식||퓨전음식||퓨전음식-일반,False
71429,71430,27035272,탄탄면공방 인천시청점,,Tantanmyeon Workshop Incheon City Hall Branch,Food,Fusion Food,126.70689084119044,37.454048084028926,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,남동대로799번길,34,1608,2022-09-06 15:18:26,음식||퓨전음식||프랜차이즈||탄탄면공방,False
80056,80057,27183584,탄탄면공방 현대프리미엄아울렛 송도점,,Tantanmyeon Workshop Hyundai Premium Outlet Songdo Branch,Food,Fusion Food,126.65748147689092,37.38170664698323,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도국제대로,123,168-1,2022-08-24 14:41:06,음식||퓨전음식||프랜차이즈||탄탄면공방,False
84020,84021,5659884,부타모리,,Butamori,Food,Fusion Food,126.62571977251883,37.472210308481074,대한민국,KOR,KOR,인천광역시,중구,,송학동3가,,신포로39번길,3,7-1,2022-08-12 13:15:03,음식||퓨전음식||퓨전음식-일반,False
87033,87034,27181707,탄탄면공방 인천스퀘어원점,,Tantanmyeon Workshop Incheon Square One,Food,Fusion Food,126.68334072404468,37.40628067946147,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청능대로,210,926,2022-08-24 14:41:06,음식||퓨전음식||프랜차이즈||탄탄면공방,False
109537,109538,4341446,주미,술이맛있는집주미,Zumi,Food,Fusion Food,126.62993165254483,37.47440701963156,대한민국,KOR,KOR,인천광역시,중구,,인현동,,우현로83번길,7,29-22,2022-08-12 13:15:03,음식||퓨전음식||퓨전음식-일반,False
119596,119597,27069052,탄탄면공방 인천인하대점,,Tantanmyeon Workshop Incheon Inha University,Food,Fusion Food,126.64813765663747,37.44745632142463,대한민국,KOR,KOR,인천광역시,미추홀구,,용현동,,용정공원로83번길,49,665-8,2022-08-24 14:41:06,음식||퓨전음식||프랜차이즈||탄탄면공방,False
120820,120821,27187113,탄탄면공방 청라점,,Tantanmyeon Workshop Cheongna Branch,Food,Fusion Food,126.64695775744644,37.53265680679356,대한민국,KOR,KOR,인천광역시,서구,,청라동,,청라커낼로260번길,27,157-21,2022-08-24 14:41:06,음식||퓨전음식||프랜차이즈||탄탄면공방,False
