,name,name_eng,problems
23914,월남선생 강화군청점,Teacher Wolnam Ganghwa-guncheong Branch,"[('월남', 'Vietnam')]"
36813,포메인 RED 송도점,4 Main RED Songdo Branch,"[('메인', 'Mein')]"
51453,포메인 인천청라점,4 Main Incheon Cheongna Branch,"[('메인', 'Mein')]"
55803,포아이니 인천당하점,Poini Incheon Dangha Branch,"[('당하', 'Dnagha')]"
61370,포메인 부평CGV점,4main Bupyeong CGV,"[('메인', 'Mein')]"
88069,포슈아쌀국수배달전문 주안점,Foshua Rice Noodle Delivery Specialty Store,"[('쌀국수', 'Pho')]"
105337,베트남꼬치&쌀국수,Vietnamese Skewers & Rice Noodles,"[('쌀국수', 'Pho')]"
116783,포트리스베트남쌀국수,Fortress Vietnamese Rice Noodles,"[('쌀국수', 'Pho')]"
134273,포앤반 인천당하점,4&Ban Incheon Dangha Branch,"[('당하', 'Dnagha')]"
138534,홍대쌀국수 뉴코아아울렛 인천점,Hongdae Rice Noodles New Core Outlet Incheon Branch,"[('쌀국수', 'Pho')]"
139626,대나무베트남명품쌀국수 학익점,Bamboo Vietnamese famous rice noodles Hakik,"[('쌀국수', 'Pho')]"
